datasetKey,datasetTitle
e0965074-67c1-46c0-9360-f8e4f98867b1,HBRG Richard Moore beetle records from Raasay Dataset
d57e08b7-391c-44fd-bdcd-0694f7e223a3,"Stonefly (Plecoptera) records from Britain and Ireland, via iRecord"
9501194c-ad89-4dd5-9cc7-04d74f9ea819,Native Species Surveys Across Wales (1978 to 2006)
10b5baed-e737-45ce-97fc-02f1602d9008,Ron McBeath records (2010 - 2014)
fcc07720-a1c3-4e74-aee6-f9ca2593087f,SEWBReC Lacewings and Allies (South East Wales)
c3bc38ef-c1f2-46db-86e7-b020604fd5f2,Small Acalypterate Families Recording Scheme - records via iRecord
99bcf021-ed3e-411e-8cb3-a8c145e3a2d2,Hymenoptera Records up to April 2010
b58e9847-900a-413d-90e2-712bb7006db6,TWIC - Identification Workshops dataset
2a101f26-35e1-4197-94ec-bd25033292a7,Staffordshire Wildlife Trust Nature Reserves Inventory
efb3f1a0-43d5-4ae6-a58f-4fd61043756a,National Trust for Scotland Species Records
66a51aea-8662-4685-9fd0-9d4b596617d5,General Biodiversity Records from Ireland
05452a3d-913a-4e62-b575-76c8c6b99010,Glasgow Museums BRC: Ladybirds
809865a3-5c34-4f9b-b058-e98d820dfe90,HBRG Insects Dataset Vol 2
b005b9fb-85ed-4950-b96c-6b200cf559d6,Dragonflies and Damselflies 1862-2013
2ae1fe04-6f12-4766-bdee-50e5b2dc1148,Species within North Ayrshire from 1984 - Present
76525e81-9210-401d-a90d-5509f771c0e7,The Albert J. Cook Arthropod Research Collection
cef450df-7155-4c9d-9eb3-7b9b4d868bfa,Sheffield and Rotherham Wildlife Trust - Records
90eae6b8-57d2-4d24-8eb3-1dbde00f1669,NRW Regional Data: North Wales
7a8bd8ec-3ba7-4c31-8753-7a6ef27fdc50,Dorset Sites of Nature Conservation Interest (SNCI) species records 2000-2008
bd3d6dd9-6ee1-4261-ade3-305d82e5d9bf,Records from iRecord not covered by a national recording scheme
926f5a1c-8995-498a-913b-fe0312e1071f,Dipterists Forum - Recording Scheme - Stilt & Stalk Flies
8aacd135-497b-4284-aa8c-bc4f4e8822db,RISC Heteroptera Non-Native Species Records
ceac4558-4a9a-4cb4-917a-f2c99a112f35,Woodmeadow Invertebrate Survey 2019
9fad752d-4bf9-4adf-9535-3cf6339a70fb,Department of Agriculture Environment and Rural Affairs (DAERA) Marine and Fisheries Division Marine Survey Data
db1abc39-7b60-4103-815d-820fa37cb62b,Protected and Invasive Species Records Collected Through Environment Agency Survey 1995 - 2021
a8c8144a-3693-4d92-8bc4-49e00dd8defc,Survey and monitoring records for Scottish Wildlife Trust reserves from reserve convenors and Trust volunteers - Verified data
56a946bf-bd42-4a54-8543-4380d92f9762,INNS Data: All Taxa (West Wales)
8c1f38ba-29a2-4fa1-a668-b259df5e6388,Glasgow Museums BRC: Chrysomelidae
120b7285-b1e6-4653-ab30-8d4231ccc9bc,Cerambycidae Dataset
688e9ab9-d010-4691-96e0-80ca29323a57,City of Edinburgh Natural Heritage Service - Natural Heritage Service Data
55496782-b8ea-4b4e-9215-abf93ac67f3a,Rhinophoridae Recording Scheme - verified via iRecord
0a0d4ca1-5bfd-4594-9d51-40b972308bf5,NE Scotland other invertebrate records 1800-2010
3b91df32-521d-4351-a45a-d4a45debbc81,SEWBReC Caddisflies (South East Wales)
b63a7193-0c48-4648-a728-086157f26373,Hymenoptera collection of National Museum of Nature and Science
5e096c60-f909-4213-9cf3-05b1f2ad5a5e,Heleomyzid Recording Scheme - data verified via iRecord
